,time,Date,sym,bid price(open),bid price(high),bid price(low),Bid Price,ask price(open),ask price(high),ask price(low),Ask Price
0,2020-01-06 02:19:59.875500+00:00,1/6/20,STOCK|XTKS|8473|,2273,2291,2253,2261.5476,2276,2292,2254,2264.4528
1,2020-01-06 02:29:59.927994+00:00,1/6/20,STOCK|XTKS|8473|,2273,2291,2253,2260.5478,2276,2292,2254,2262.4524
2,2020-01-06 02:30:00.059462+00:00,1/6/20,STOCK|XTKS|8473|,2273,2291,2253,2260.5478,2276,2292,2254,2263.4526
3,2020-01-06 03:39:54.914759+00:00,1/6/20,STOCK|XTKS|8473|,2273,2291,2253,2265.5468,2276,2292,2254,2267.4534
4,2020-01-06 03:49:54.109011+00:00,1/6/20,STOCK|XTKS|8473|,2273,2291,2253,2270.5458,2276,2292,2254,2272.4544
5,2020-01-06 03:59:51.301940+00:00,1/6/20,STOCK|XTKS|8473|,2273,2291,2253,2272.5454,2276,2292,2254,2274.4548
6,2020-01-06 04:09:46.971184+00:00,1/6/20,STOCK|XTKS|8473|,2273,2291,2253,2273.5452,2276,2292,2254,2275.455
7,2020-01-06 04:19:59.589116+00:00,1/6/20,STOCK|XTKS|8473|,2273,2291,2253,2274.545,2276,2292,2254,2276.4552
8,2020-01-06 04:29:59.269524+00:00,1/6/20,STOCK|XTKS|8473|,2273,2291,2253,2276.5446,2276,2292,2254,2278.4556
9,2020-01-06 04:39:52.057950+00:00,1/6/20,STOCK|XTKS|8473|,2273,2291,2253,2277.5444,2276,2292,2254,2279.4558
10,2020-01-06 04:49:38.263313+00:00,1/6/20,STOCK|XTKS|8473|,2273,2291,2253,2282.5434,2276,2292,2254,2284.4568
11,2020-01-06 04:59:59.973999+00:00,1/6/20,STOCK|XTKS|8473|,2273,2291,2253,2282.5434,2276,2292,2254,2284.4568
12,2020-01-06 05:09:57.809086+00:00,1/6/20,STOCK|XTKS|8473|,2273,2291,2253,2285.5428,2276,2292,2254,2287.4574
