,Unnamed: 0,time,Date,sym,bid price(open),bid price(high),bid price(low),Bid Price,ask price(open),ask price(high),ask price(low),Ask Price,RSI_ask_4,RSI_ask_4_shift,RSI_bid_4,RSI_bid_4_shift,ATR,Hour
24,24,2020-01-07 00:59:54.568645+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2357.5284,2300,2406,2299,2359.4718,87.74615766394848,90.9901451005719,87.0932778299263,90.20010862720727,240.13580000000002,0
25,25,2020-01-07 01:09:52.601801+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2361.5276,2300,2406,2299,2364.4728,90.09934925401028,87.74615766394848,89.09628989558561,87.0932778299263,257.3858,1
26,26,2020-01-07 01:19:56.750622+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2361.5276,2300,2406,2299,2364.4728,90.09934925401028,90.09934925401028,89.09628989558561,89.09628989558561,274.6358,1
27,27,2020-01-07 01:29:57.990891+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2369.526,2300,2406,2299,2371.4742,93.3011323420642,90.09934925401028,92.97347001182673,89.09628989558561,291.8858,1
28,28,2020-01-07 01:39:59.960168+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2390.5218,2300,2406,2299,2392.4784,97.07927679298334,93.3011323420642,96.86950456362699,92.97347001182673,309.1358,1
29,29,2020-01-07 01:49:59.279973+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2389.522,2300,2406,2299,2391.4782,93.72311180885299,97.07927679298334,93.57521206366906,96.86950456362699,326.3858,1
30,30,2020-01-07 01:59:59.595227+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2391.5216,2300,2406,2299,2393.4786,94.25293572257576,93.72311180885299,94.10941045230773,93.57521206366906,343.6358,1
31,31,2020-01-07 02:09:58.091447+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2397.5204,2300,2406,2299,2400.48,95.87701090718717,94.25293572257576,95.57957969515554,94.10941045230773,360.8858,2
32,32,2020-01-07 02:19:59.460603+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2398.5202,2300,2406,2299,2400.48,95.87701090718717,95.87701090718717,95.81186246271524,95.57957969515554,378.1358,2
33,33,2020-01-07 02:29:59.996758+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2399.52,2300,2406,2299,2404.4808,96.79662773823505,95.87701090718717,96.08608524081049,95.81186246271524,374.5,2
34,34,2020-01-07 02:30:00.127715+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2398.5202,2300,2406,2299,2403.4806,90.09796012072638,96.79662773823505,88.3711573648456,96.08608524081049,374.5,2
35,35,2020-01-07 03:39:58.947274+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2387.5224,2300,2406,2299,2389.4778,39.313201822389686,90.09796012072638,40.581653042731816,88.3711573648456,374.5,3
36,36,2020-01-07 03:49:55.809839+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2396.5206,2300,2406,2299,2398.4796,59.082177156763,39.313201822389686,62.62864643838082,40.581653042731816,374.5,3
37,37,2020-01-07 03:59:45.688627+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2398.5202,2300,2406,2299,2400.48,62.68391600007535,59.082177156763,66.33028852454754,62.62864643838082,374.5,3
38,38,2020-01-07 04:09:59.657566+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2399.52,2300,2406,2299,2401.4802,64.75233624440916,62.68391600007535,68.41589745730198,66.33028852454754,374.5,4
39,39,2020-01-07 04:19:59.632135+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2399.52,2300,2406,2299,2401.4802,64.75233624440916,64.75233624440916,68.41589745730198,68.41589745730198,374.5,4
40,40,2020-01-07 04:29:44.368598+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2400.5198,2300,2406,2299,2402.4804,67.91413313513323,64.75233624440916,71.54896024999545,68.41589745730198,374.5,4
41,41,2020-01-07 04:39:39.428727+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2400.5198,2300,2406,2299,2402.4804,67.91413313513323,67.91413313513323,71.54896024999545,71.54896024999545,374.5,4
42,42,2020-01-07 04:49:56.588941+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2398.5202,2300,2406,2299,2400.48,51.491389555720524,67.91413313513323,52.89336140263379,71.54896024999545,374.5,4
43,43,2020-01-07 04:59:58.856044+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2399.52,2300,2406,2299,2401.4802,58.22583807114578,51.491389555720524,59.86914529608775,52.89336140263379,374.5,4
44,44,2020-01-07 05:09:46.779818+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2400.5198,2300,2406,2299,2402.4804,64.75071407653711,58.22583807114578,66.48630927261394,59.86914529608775,374.5,5
45,45,2020-01-07 05:19:58.513331+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2402.5194,2300,2406,2299,2404.4808,75.11553086429265,64.75071407653711,76.72184822143335,66.48630927261394,374.5,5
46,46,2020-01-07 05:29:58.908876+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2403.5192,2300,2406,2299,2405.481,79.19408999299765,75.11553086429265,80.65970783352905,76.72184822143335,374.5,5
47,47,2020-01-07 05:39:59.990909+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2401.5196,2300,2406,2299,2403.4806,55.10817521481537,79.19408999299765,55.584912687158656,80.65970783352905,374.5,5
48,48,2020-01-07 05:49:59.959213+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2401.5196,2300,2406,2299,2403.4806,55.10817521481537,55.10817521481537,55.584912687158656,55.584912687158656,374.5,5
49,49,2020-01-07 05:59:59.757753+00:00,1/7/20,STOCK|XTKS|8473|,2296,2405,2296,2401.5196,2300,2406,2299,2404.4808,64.66169772854923,55.10817521481537,55.584912687158656,55.584912687158656,374.5,5
